Model,Accuracy,CV Mean,CV Std
Stacking Classifier,0.9113680154142582,0.9025651703209391,0.0030723829490798427
Voting Classifier,0.9111271676300579,0.9050343163141312,0.0038919115060868756
XGBoost,0.910645472061657,0.9014214000592077,0.0033709432426507883
Gradient Boosting,0.9072736030828517,0.9024447892482137,0.0058808382658583755
LightGBM,0.9072736030828517,0.9034083363109369,0.0019305737005104527
Random Forest,0.9017341040462428,0.8957003586358026,0.0022974963427231064
Logistic Regression,0.8615125240847784,0.8574610586563421,0.005504276166687805
Decision Tree,0.8475433526011561,0.8375882517270554,0.006326008664641732
AdaBoost,0.75626204238921,0.722148729347351,0.013797070698177068
K-Nearest Neighbors,0.44171483622350677,0.4237629077073432,0.006404630080240903
